"sample","batch01_QC01","batch01_QC02","batch01_QC03","batch01_QC04","batch01_QC05","batch01_QC06","batch01_QC07","batch02_QC08","batch02_QC09","batch02_QC10","batch02_QC11","batch03_QC12","batch03_QC13","batch03_QC14","batch03_QC15","batch04_QC16","batch04_QC17","batch04_QC18","batch04_QC19","batch05_QC20","batch05_QC21","batch05_QC22","batch05_QC23","batch05_QC24","batch06_QC25","batch06_QC26","batch06_QC27","batch06_QC28","batch06_QC29","batch07_QC30","batch07_QC31","batch07_QC32","batch07_QC33","batch07_QC34","batch08_QC36","batch08_QC37","batch08_QC38","batch08_QC39"
"batch","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","4","4","4","4"
"78.02055"," 917.1363","1030.0609"," 946.1624","1009.0992","1098.5187","1039.1358"," 982.8871"," 888.3214","1021.8277","1012.5145","1085.5038"," 769.1779","1112.4348"," 923.1305"," 998.4206","1079.0330","1059.4643"," 794.6639","1249.6264"," 878.9959","1174.0548"," 630.2556","1042.5873"," 914.1478","1204.6176"," 845.6103","1040.9010"," 862.2482"," 636.7973","1301.6999"," 997.8026"," 951.1188","1105.0630"," 978.0195"," 879.1422"," 994.2935","1030.3714","1070.0595"
"452.00345"," 657.0967","1213.7419","1035.8098","1019.9151"," 718.5425","1111.2797"," 973.3626"," 937.9541"," 996.0842","1137.6222"," 961.1978"," 791.8181","1024.5635","1052.2097"," 957.3670","1126.9021"," 889.7867"," 976.6355","1231.6202"," 647.0731"," 901.6969","1029.8499","1098.0283"," 817.4572","1188.1848","1146.6858"," 691.5150","1233.4389"," 781.3285","1095.5554"," 998.4656","1083.5060"," 976.4420"," 946.7043","1085.5224","1009.5759"," 926.4586","1033.0036"
"138.96337","1076.9890"," 915.1853"," 991.5857"," 973.5339"," 985.2342","1045.5161","1040.6109"," 919.4084","1047.9845"," 932.7787","1056.4663","1041.6366"," 824.0162","1098.3185"," 871.1342","1023.3943","1039.5124","1006.1702"," 894.1676","1127.7199","1110.9982"," 918.8413","1044.9538"," 941.2762"," 952.9298"," 976.2781","1084.0714","1040.0296","1029.9724"," 841.8415","1082.7794","1041.9038"," 767.8453","1267.7594"," 938.8634","1061.4439"," 816.8222","1005.9412"
"73.53838"," 981.3260"," 974.1036"," 993.2795","1015.1006","1003.9721","1063.4027"," 955.7072"," 985.0572"," 936.0766","1035.9168","1086.7839"," 963.1597","1021.2602"," 892.1722","1121.9239"," 915.8821","1000.8078"," 937.0089","1102.8054"," 985.0772","1013.6728"," 928.2014","1043.5426","1025.6193"," 970.3524"," 979.2479","1073.2620"," 903.4469","1092.4318"," 930.7479","1058.9936"," 964.1027","1044.1661"," 904.6640"," 967.6319","1093.8155"," 931.7966","1061.0335"
"385.12885"," 993.9608","1028.4673","1003.9207"," 934.5391","1030.4501"," 977.0539"," 994.8516"," 985.8466","1009.0988","1041.4803"," 928.7232","1069.5054"," 989.6806"," 970.1967"," 945.5279","1054.3962"," 986.4305"," 993.2611"," 956.9908","1018.7198","1067.4352","1026.6309"," 967.1067"," 964.8570"," 982.1242","1011.0464","1061.4744"," 951.3064","1080.7322"," 912.0000"," 952.7357"," 992.7626","1007.2784","1003.9691"," 997.9968","1062.8775"," 980.5990"," 988.3317"
"237.02815"," 954.5909"," 977.1003","1069.2276","1002.6397","1059.4482"," 982.0576"," 906.9229"," 912.4539","1270.0234"," 823.1625"," 903.8755","1139.1622","1035.8951"," 889.4977"," 950.3146","1013.7740","1064.3308","1018.2611"," 971.1044"," 977.2844","1006.1617","1056.9777"," 965.8479","1045.2819"," 906.5295"," 991.4137","1080.5850","1015.4332","1018.3970"," 906.7621"," 787.1800","1232.5022"," 849.4382","1075.4645"," 843.3179","1123.3747"," 996.2019"," 954.8740"
"222.02744","1038.3856"," 941.0691","1064.8972"," 994.8541"," 982.5216"," 990.9627"," 969.4743"," 999.1950","1007.5419"," 974.9490"," 939.4305","1092.4501"," 994.5739"," 896.9043","1028.2856","1019.5425"," 964.5899"," 972.1568"," 998.0123","1028.6871","1033.8400"," 937.5818","1022.9678","1049.0724"," 986.3414"," 937.2431","1065.7796"," 874.4889"," 776.3512","1256.8619","1064.4703"," 939.5692","1068.0735"," 980.6051"," 998.5471","1005.3573"," 921.0418","1063.4578"
"399.33298","1020.4369"," 981.1562"," 995.5232"," 998.4398","1027.2153"," 987.2988","1006.7913"," 995.7371"," 949.8089","1057.6215"," 970.9447"," 994.7732"," 991.1779"," 980.2556"," 984.5791","1072.2247"," 874.6159"," 951.8772"," 927.4915","1137.6992"," 927.4746","1036.1254","1005.9552"," 892.8977","1091.9391"," 935.3176","1088.1450"," 909.9832"," 993.4422"," 990.9566","1065.5619"," 963.5262","1013.0841","1020.3796"," 963.0300","1025.2476"," 950.5579","1029.4501"
"394.23541"," 926.3053","1067.3087","1024.2919","1006.3351"," 942.1925","1045.7135"," 990.3005","1008.1579"," 941.9316","1036.2019"," 962.3655","1059.4560","1013.1561"," 948.8770"," 982.0485","1056.8097"," 967.9176","1020.9770"," 929.8838","1024.8028"," 978.5516","1026.4705"," 958.4826"," 941.3337","1112.0262"," 907.6489","1037.1790","1023.2245","1007.2150"," 894.3864","1073.1222"," 964.5959","1033.7256"," 967.2855","1015.9469","1005.3195"," 999.0438"," 944.8717"
